x,y,phi_deg,sigma_dBsm,rho
-22.12146016950275,17.846244717128847,141.10552763819098,21.569875102005142,28.422657344705577
-22.37345516092282,16.91196750322402,142.91457286432163,21.19336081954485,28.046143062245285
-22.268298414701768,15.753057110109966,144.72361809045228,20.424239636540623,27.277021879241058
-21.80598667680561,14.41519724083525,146.53266331658293,19.287205638727666,26.1399878814281
-21.09211115762499,13.005552128505363,148.34170854271355,17.92667576696715,24.779458009667586
-20.39736392672035,11.704973905809545,150.1507537688442,16.6644214451268,23.517203687827234
-20.198286085771286,10.757804540190211,151.95979899497488,16.03173477924257,22.884517021943005
-20.808086327097826,10.252906004103743,153.76884422110552,16.34416880964569,23.196951052346126
-21.872737778148274,9.932093269635164,155.57788944723617,17.169356184766148,24.022138427466583
-22.777039118588295,9.487260754778879,157.38693467336682,17.821123561587402,24.673905804287838
-23.161367879987157,8.800037953252561,159.19597989949747,17.924013959609223,24.776796202309658
-23.04154171066684,7.9315786778940955,161.00502512562815,17.515692980998402,24.368475223698837
-23.004625912279256,7.114931078548427,162.8140703517588,17.226982241538288,24.079764484238723
-23.960822153710886,6.5895109079361704,164.62311557788945,17.997623232614693,24.850405475315128
-25.70185069796086,6.202663026295666,166.4321608040201,19.586925734469936,26.43970797717037
-27.260936834522457,5.674648287665423,168.24120603015075,20.99251018321112,27.845292425911556
-28.121521240688665,4.933156049551863,170.0502512562814,21.698154440703384,28.55093668340382
-28.115157101179403,4.0217593310970035,171.85929648241208,21.548566439030587,28.401348681731022
-27.13624969307084,3.0110474380343564,173.66834170854273,20.450009813768453,27.30279205646889
-24.97719091589184,1.9756667332257956,175.47738693467338,18.202423306041023,25.05520554874146
-21.080771502505282,0.9991471054939279,177.28643216080403,14.251653833140486,21.104436075840923
-13.757659126494714,0.21720880300568263,179.09547738693468,6.9065914459863595,13.759373688686795
