theta_deg,sigma_dBsm,sigma_dBsm_anal,relative_error
181.5,22.650168637169514,22.655087887253803,0.001132057929691267
182.0,22.618850067056503,22.6237510413525,0.001127854528955815
182.5,22.57863448102668,22.583510742002858,0.001122170478603872
183.0,22.529559728605577,22.534404867947167,0.0011150124732676183
183.5,22.47167254300521,22.476480182123026,0.0011063873182539888
184.0,22.405028803855984,22.40979259501307,0.0010963020717593686
184.5,22.32969383178105,22.334407459911795,0.001084764204254881
185.0,22.245742705896426,22.250399891186376,0.0010717817735881744
185.5,22.153260593253037,22.157855094534757,0.0010573636128349433
186.0,22.05234307687959,22.056868695886713,0.0010415195278788314
186.5,21.943096466440977,21.9475470529419,0.0010242604999613975
187.0,21.82563807257964,21.830007530388542,0.0010055988877435136
187.5,21.700096422779794,21.70437871660884,0.000985548621089151
188.0,21.5666113931132,21.570800556193777,0.0009641253783268457
188.5,21.425334226571184,21.42942436892023,0.000941346735026989
189.0,21.276427404938847,21.280412722091167,0.000917232271654997
189.5,21.120064337484564,21.12393911944317,0.0008918036242172356
190.0,20.956428826290477,20.960187466369767,0.0008650844601467424
190.5,20.785714265084366,20.78935126822977,0.0008371003584201871
191.0,20.608122526211602,20.611632516287077,0.0008078785726749041
191.5,20.42386248926574,20.427240214690514,0.0007774476519767759
192.00000000000003,20.233148165193487,20.23638850220351,0.0007458368948455528
192.5,20.036196371804387,20.039294324505775,0.0007130756115613804
193.0,19.833223920889246,19.836174617162868,0.0006791921698673757
193.5,19.62444428386384,19.6272429660921,0.0006442128036524531
194.0,19.410063712224975,19.41270572173288,0.0006081601664392113
194.5,19.190276801134814,19.19275755518991,0.0005710516185892958
195.0,18.96526149897143,18.96757645916687,0.0005328972434905187
195.5,18.735173582217538,18.73731821308677,0.0004936975981619781
196.0,18.500140632861918,18.502110349626687,0.00045344121044435244
196.50000000000003,18.260255573411854,18.262045677867803,0.0004121018462153124
197.0,18.015569831283443,18.017175434966546,0.00036963557852718877
197.5,17.766086218020533,17.76750215194054,0.0003259776914105441
198.0,17.511751617659325,17.512972328063164,0.00028103945888469686
198.5,17.252449580678718,17.253469010442863,0.0002347048303384062
199.0,16.987992913575724,16.988804368925795,0.00018682704492479257
199.5,16.71811633764443,16.718712339915797,0.00013722517830787589
200.0,16.44246926288622,16.442841384933665,8.568059712955634e-5
200.5,16.16060868346533,16.160747370062914,3.193325934230614e-5
201.00000000000003,15.871992149518192,15.87188652062415,2.4322247462515498e-5
201.5,15.575970706521609,15.575608341564951,8.344109575696791e-5
202.0,15.271781617939427,15.271148318278225,0.0001458332685654101
202.5,14.958540599298928,14.957620124637849,0.00021196958568668698
203.0,14.63523319106308,14.634006963842374,0.0002823891162037078
203.5,14.30070478100375,14.299151550473315,0.0003577085089722583
204.0,13.953648649106862,13.951744103845883,0.00043863392442455867
204.5,13.592591240705689,13.590307554532739,0.0005259764510198285
205.0,13.215873662866697,13.213178954090676,0.000620672163065463
205.50000000000003,12.82162812415005,12.818485801489743,0.0007238083544349204
206.0,12.407747667449838,12.404115626990137,0.0008366580251941587
206.5,11.971847032766762,11.967676658009443,0.0009607254761924992
207.0,11.51121176068267,11.506446660407331,0.0010978070355496037
207.5,11.022731599494122,11.017305993532588,0.0012500726309945637
208.0,10.502812740030924,10.496649367039392,0.001420176574267688
208.5,9.947261102015185,9.940268470151466,0.0016114099169115114
209.0,9.351125393785043,9.343194114832427,0.0018279130684992408
209.5,8.708483227228623,8.699481051103424,0.0020749774474089957
210.00000000000003,8.012144931496781,8.001909904152306,0.002359481344287194
210.5,7.253235659308368,7.241566516986344,0.002690532318801247
211.0,6.420592934544186,6.4072353430603854,0.003080433918420964
211.5,5.499876618283002,5.484503037277032,0.003546170682956152
212.0,4.472217701540498,4.4543973006576,0.004111728999924134
212.5,3.312106172351928,3.2912591400181945,0.004811746036651513
213.0,1.9839941931977354,1.9593222984242697,0.0056970807023591415
213.5,0.4367286917998243,0.40711536336633236,0.006842021267125676
214.0,-1.4053745429611941,-1.4414677717505084,0.008345403399726576
214.50000000000003,-3.6538985262726262,-3.6982652453736593,0.010268174183405296
215.0,-6.444701602330884,-6.496969167664602,0.012107764320249825
215.5,-9.671031718994943,-9.711413302771753,0.009341565869592418
216.0,-11.467114857235712,-11.422245875817485,0.01027827851452377
216.5,-9.459116967666294,-9.364891374209845,0.021462574145776143
217.0,-6.399351898845044,-6.320264731442094,0.018045684172983457
217.5,-3.8328868668551364,-3.7714091978217095,0.014056034806373184
218.0,-1.7960767430794309,-1.7469345258417104,0.011251635178123281
218.5,-0.15253501564639194,-0.11192564561162535,0.00930707159595904
219.00000000000003,1.2040886257874241,1.2385517392740573,0.007904022769805619
219.5,2.345421771452852,2.3752622497617963,0.006847472538313642
220.0,3.319804922031807,3.3460339461755595,0.0060212551448532
220.5,4.160768534876695,4.1840832195879365,0.005354020414167394
221.0,4.892281265343241,4.9131782688810235,0.004800155137946163
221.5,5.531955106603476,5.550798060714967,0.004329351744352492
222.0,6.093044171112235,6.110105277218867,0.0039207585356805
222.5,6.585727565465623,6.6012141959486765,0.003559578076813717
223.0,7.017957078581248,7.032029343809031,0.003235014840697272
223.50000000000003,7.396032667328578,7.4088153467956825,0.0029389933971268344
224.0,7.7250027757886555,7.736593620099761,0.0026653322105536685
224.5,8.008948874268004,8.01942450200294,0.0024091956447857524
